From	To		Mismatched strings (Not displayed as in version 2)
2s1/2	2p1/2		{'3.3170(4)'}
2s1/2	2p3/2		{'4.6907(6)'}
2p1/2	2s1/2		{'3.3170(4)'}
3d3/2	4f5/2		{'1871.0(4)*'}
3d3/2	5f5/2		{'1279.7(2)*'}
3d3/2	6f5/2		{'1092.2(1)*'}
3d3/2	7f5/2		{'1003.6(1)*'}
3d3/2	8f5/2		{'953.36(9)*'}
3d3/2	9f5/2		{'921.73(9)*'}
3d3/2	10f5/2		{'900.37(8)*'}
4f5/2	3d3/2		{'1871.0(4)*'}
4f5/2	3d5/2		{'1871.0(4)*'}
4f5/2	4d3/2		{'2.3(5)E+06*'}
4f5/2	4d5/2		{'2.3(5)E+06*'}
4f5/2	5d3/2		{'4053(2)*'}
4f5/2	5d5/2		{'4053(2)*'}
4f5/2	6d3/2		{'2625.0(7)*'}
4f5/2	6d5/2		{'2625.0(7)*'}
4f5/2	7d3/2		{'2165.1(7)*'}
4f5/2	7d5/2		{'2165.1(7)*'}
4f5/2	8d3/2		{'1944.2(5)*'}
4f5/2	8d5/2		{'1944.2(5)*'}
4f5/2	9d3/2		{'1817.0(5)*'}
4f5/2	9d5/2		{'1817.0(5)*'}
4f5/2	10d3/2		{'1736(3)*'}
4f5/2	10d5/2		{'1736(3)*'}
2p3/2	2s1/2		{'4.6907(6)'}
3d5/2	4f5/2		{'1871.0(4)*'}
3d5/2	4f7/2		{'1871.0(4)*'}
3d5/2	5f5/2		{'1279.7(2)*'}
3d5/2	5f7/2		{'1279.7(2)*'}
3d5/2	6f5/2		{'1092.2(1)*'}
3d5/2	6f7/2		{'1092.2(1)*'}
3d5/2	7f5/2		{'1003.6(1)*'}
3d5/2	7f7/2		{'1003.6(1)*'}
3d5/2	8f5/2		{'953.36(9)*'}
3d5/2	8f7/2		{'953.36(9)*'}
3d5/2	9f5/2		{'921.73(9)*'}
3d5/2	9f7/2		{'921.73(9)*'}
3d5/2	10f5/2		{'900.37(8)*'}
3d5/2	10f7/2		{'900.37(8)*'}
4f7/2	3d5/2		{'1871.0(4)*'}
4f7/2	4d5/2		{'2.3(5)E+06*'}
4f7/2	5d5/2		{'4053(2)*'}
4f7/2	6d5/2		{'2625.0(7)*'}
4f7/2	7d5/2		{'2165.1(7)*'}
4f7/2	8d5/2		{'1944.2(5)*'}
4f7/2	9d5/2		{'1817.0(5)*'}
4f7/2	10d5/2		{'1736(3)*'}
4d3/2	4f5/2		{'2.3(5)E+06*'}
4d3/2	5f5/2		{'4042(2)*'}
4d3/2	6f5/2		{'2621.1(7)*'}
4d3/2	7f5/2		{'2162.6(5)*'}
4d3/2	8f5/2		{'1942.1(4)*'}
4d3/2	9f5/2		{'1815.3(3)*'}
4d3/2	10f5/2		{'1734.2(3)*'}
5f5/2	3d3/2		{'1279.7(2)*'}
5f5/2	3d5/2		{'1279.7(2)*'}
5f5/2	4d3/2		{'4042(2)*'}
5f5/2	4d5/2		{'4042(2)*'}
5f5/2	5d3/2		{'4(2)E+06*'}
5f5/2	5d5/2		{'4(2)E+06*'}
5f5/2	6d3/2		{'7462(6)*'}
5f5/2	6d5/2		{'7462(6)*'}
5f5/2	7d3/2		{'4653(3)*'}
5f5/2	7d5/2		{'4653(3)*'}
5f5/2	8d3/2		{'3740(2)*'}
5f5/2	8d5/2		{'3740(2)*'}
5f5/2	9d3/2		{'3296(2)*'}
5f5/2	9d5/2		{'3296(2)*'}
5f5/2	10d3/2		{'3038(9)*'}
5f5/2	10d5/2		{'3038(9)*'}
4d5/2	4f5/2		{'2.3(5)E+06*'}
4d5/2	4f7/2		{'2.3(5)E+06*'}
4d5/2	5f5/2		{'4042(2)*'}
4d5/2	5f7/2		{'4042(2)*'}
4d5/2	6f5/2		{'2621.1(7)*'}
4d5/2	6f7/2		{'2621.1(7)*'}
4d5/2	7f5/2		{'2162.6(5)*'}
4d5/2	7f7/2		{'2162.6(5)*'}
4d5/2	8f5/2		{'1942.1(4)*'}
4d5/2	8f7/2		{'1942.1(4)*'}
4d5/2	9f5/2		{'1815.3(3)*'}
4d5/2	9f7/2		{'1815.3(3)*'}
4d5/2	10f5/2		{'1734.2(3)*'}
4d5/2	10f7/2		{'1734.2(3)*'}
5f7/2	3d5/2		{'1279.7(2)*'}
5f7/2	4d5/2		{'4042(2)*'}
5f7/2	5d5/2		{'4(2)E+06*'}
5f7/2	6d5/2		{'7462(6)*'}
5f7/2	7d5/2		{'4653(3)*'}
5f7/2	8d5/2		{'3740(2)*'}
5f7/2	9d5/2		{'3296(2)*'}
5f7/2	10d5/2		{'3038(9)*'}
5d3/2	4f5/2		{'4053(2)*'}
5d3/2	5f5/2		{'4(2)E+06*'}
5d3/2	6f5/2		{'7442(6)*'}
5d3/2	7f5/2		{'4646(2)*'}
5d3/2	8f5/2		{'3735(1)*'}
5d3/2	9f5/2		{'3292(1)*'}
5d3/2	10f5/2		{'3035.1(9)*'}
6f5/2	3d3/2		{'1092.2(1)*'}
6f5/2	3d5/2		{'1092.2(1)*'}
